       time          cgrain          somtc           rain       
    1893.00         15.8323       2282.7220          1.3000
    1893.08         15.8323       2282.4590           .9000
    1893.17         15.8323       2281.8970          2.2000
    1893.25         15.8323       2280.8720          1.0000
    1893.33         15.8323       2287.7550          7.7000
    1893.42         15.8323       2271.7170          9.6000
    1893.50         15.8323       2257.7770          9.9000
    1893.58         15.8323       2242.3680          7.5000
    1893.67         23.7954       2267.3100          4.0000
    1893.75         23.7954       2246.2920          8.2000
    1893.83         23.7954       2241.3950          2.0000
    1893.92         23.7954       2240.0350          1.2000
    1894.00         23.7954       2238.7790           .9000
    1894.08         23.7954       2237.7680          1.9000
    1894.17         23.7954       2236.8150          1.2000
    1894.25         23.7954       2234.9400          2.0000
    1894.33         23.7954       2249.3010          2.7000
    1894.42         23.7954       2239.2270          6.0000
    1894.50         23.7954       2227.3040         10.4000
    1894.58         23.7954       2215.3220          5.8000
    1894.67         17.5490       2223.1300         10.4000
    1894.75         17.5490       2201.3620          7.3000
    1894.83         17.5490       2197.9230           .0000
    1894.92         17.5490       2196.8510          2.6000
    1895.00         17.5490       2196.0700          1.4000
    1895.08         17.5490       2195.3940          1.5000
    1895.17         17.5490       2194.6860           .2000
    1895.25         17.5490       2193.5090           .8000
    1895.33         17.5490       2214.7860           .9000
    1895.42         17.5490       2208.6390          3.7000
    1895.50         17.5490       2193.0400         10.2000
    1895.58         17.5490       2176.9370         13.7000
    1895.67         21.0645       2178.6390         10.5000
    1895.75         21.0645       2162.6440          2.0000
    1895.83         21.0645       2159.9050          1.3000
    1895.92         21.0645       2159.0380          1.7000
    1896.00         21.0645       2158.5320          1.2000
    1896.08         21.0645       2158.0550          1.3000
    1896.17         21.0645       2157.5360          1.4000
    1896.25         21.0645       2155.9780          1.0000
    1896.33         21.0645       2181.1840          4.2000
    1896.42         21.0645       2168.7250          4.8000
    1896.50         21.0645       2150.5790         18.2000
    1896.58         21.0645       2133.5830         13.5000
    1896.67         24.9876       2152.0260          6.3000
    1896.75         24.9876       2133.8980          7.1000
    1896.83         24.9876       2123.9130          6.4000
    1896.92         24.9876       2120.7680          4.1000
    1897.00         24.9876       2119.9320           .2000
    1897.08         24.9876       2119.0380          1.4000
    1897.17         24.9876       2118.2330          1.5000
    1897.25         24.9876       2116.1140          4.2000
